lambda flux fluxErr
10341.8550 3.24258e-17 2.05549e-18
10342.9410 3.26305e-17 2.06856e-18
10344.0270 3.12845e-17 1.98548e-18
10345.1130 3.02929e-17 1.91413e-18
10346.1990 2.78327e-17 1.75419e-18
10347.2850 2.67686e-17 1.71237e-18
10348.3710 2.90810e-17 1.92786e-18
10349.4570 3.16898e-17 2.10614e-18
10350.5430 3.22478e-17 2.13804e-18
10351.6290 3.27547e-17 2.15353e-18
10352.7150 3.27112e-17 2.08711e-18
10353.8010 3.23873e-17 2.04266e-18
10354.8870 3.21180e-17 2.03870e-18
10355.9730 3.27307e-17 2.11406e-18
10357.0590 3.32937e-17 2.14606e-18
10358.1450 3.22819e-17 2.05454e-18
10359.2310 3.28701e-17 2.07322e-18
10360.3170 3.27820e-17 2.05574e-18
10361.4030 3.25068e-17 2.03716e-18
10362.4890 3.26541e-17 2.04573e-18
10363.5750 3.34647e-17 2.09568e-18
10364.6610 3.34924e-17 2.09792e-18
10365.7470 3.28526e-17 2.05803e-18
10366.8330 3.28940e-17 2.06075e-18
10367.9190 3.25082e-17 2.03686e-18
10369.0050 3.30751e-17 2.07252e-18
10370.0900 3.33954e-17 2.09504e-18
10371.1760 3.37083e-17 2.11527e-18
10372.2620 3.22947e-17 2.03544e-18
10373.3480 3.55315e-17 2.60638e-18
10374.4340 3.71347e-17 3.08198e-18
10375.5200 3.33860e-17 2.41053e-18
10376.6060 3.39232e-17 2.58910e-18
10377.6920 3.38901e-17 2.42913e-18
10378.7780 3.34052e-17 2.12349e-18
10379.8640 3.28833e-17 2.06264e-18
10380.9500 3.30095e-17 2.06870e-18
10382.0360 3.13101e-17 1.96300e-18
10383.1220 3.15121e-17 1.97578e-18
10384.2080 3.21486e-17 2.01561e-18
10385.2940 3.25470e-17 2.04047e-18
10386.3800 3.28885e-17 2.06297e-18
10387.4660 3.22447e-17 2.02404e-18
10388.5520 3.30615e-17 2.07470e-18
10389.6380 3.21222e-17 2.01633e-18
10390.7240 3.28846e-17 2.06390e-18
10391.8100 3.65018e-17 2.38465e-18
10392.8960 3.48508e-17 2.27335e-18
10393.9820 3.19334e-17 2.00664e-18
10395.0680 3.21165e-17 2.01529e-18
10396.1540 3.19888e-17 2.01674e-18
10397.2400 3.14401e-17 2.05163e-18
10398.3260 3.20703e-17 2.20258e-18
10399.4120 3.10340e-17 2.15663e-18
10400.4980 2.96428e-17 2.00913e-18
10401.5840 3.16300e-17 2.05217e-18
10402.6700 3.29757e-17 2.10828e-18
10403.7560 3.29584e-17 2.09122e-18
10404.8420 3.20850e-17 2.01157e-18
10405.9280 3.20601e-17 2.01106e-18
10407.0140 3.24446e-17 2.03570e-18
10408.1000 3.24714e-17 2.03642e-18
10409.1860 3.22130e-17 2.02063e-18
10410.2710 3.20837e-17 2.01403e-18
10411.3570 3.24441e-17 2.03711e-18
10412.4430 3.16152e-17 1.98642e-18
10413.5290 3.17134e-17 1.99043e-18
10414.6150 3.17283e-17 1.98997e-18
10415.7010 3.19950e-17 2.00710e-18
10416.7870 3.14608e-17 1.98020e-18
10417.8730 3.15717e-17 2.01037e-18
10418.9590 3.13780e-17 2.15187e-18
10420.0450 3.30533e-17 2.39451e-18
10421.1310 3.27648e-17 2.39579e-18
10422.2170 3.27738e-17 2.38287e-18
10423.3030 3.45090e-17 2.34837e-18
10424.3890 3.24435e-17 2.06578e-18
10425.4750 3.19543e-17 2.01263e-18
10426.5610 3.17829e-17 2.00087e-18
10427.6470 3.23082e-17 2.03112e-18
10428.7330 3.19372e-17 2.00936e-18
10429.8190 3.10318e-17 1.95926e-18
10430.9050 3.17867e-17 2.00955e-18
10431.9910 3.19235e-17 2.01792e-18
10433.0770 3.26376e-17 2.05748e-18
10434.1630 3.18436e-17 2.00066e-18
10435.2490 3.16537e-17 1.98431e-18
10436.3350 3.26487e-17 2.04487e-18
10437.4210 3.19959e-17 2.00399e-18
10438.5070 3.45107e-17 2.25782e-18
