lambda flux fluxErr
10313.6200 1.81081e-18 6.21667e-19
10314.7060 2.49346e-18 5.60985e-19
10315.7920 2.03038e-18 3.49909e-19
10316.8780 1.65296e-18 2.51337e-19
10317.9640 1.48086e-18 2.53673e-19
10319.0500 1.28871e-18 2.48748e-19
10320.1360 1.65571e-18 2.57837e-19
10321.2220 1.58721e-18 2.38278e-19
10322.3080 1.39858e-18 2.30869e-19
10323.3940 1.64869e-18 2.48790e-19
10324.4800 1.61950e-18 2.60794e-19
10325.5660 1.91350e-18 2.72117e-19
10326.6520 1.75974e-18 2.92366e-19
10327.7380 1.78203e-18 3.36787e-19
10328.8240 1.85511e-18 3.80115e-19
10329.9100 2.18136e-18 5.36299e-19
10330.9950 2.51478e-18 8.04249e-19
10332.0810 2.22602e-18 4.16889e-19
10333.1670 1.79380e-18 2.86854e-19
10334.2530 1.57070e-18 2.44596e-19
10335.3390 1.63121e-18 2.42539e-19
10336.4250 1.58418e-18 2.42519e-19
10337.5110 1.84454e-18 2.48074e-19
10338.5970 1.93982e-18 2.50974e-19
10339.6830 1.79275e-18 2.70962e-19
10340.7690 1.09449e-18 3.85065e-19
10341.8550 1.80379e-18 6.80814e-19
10342.9410 2.36581e-18 6.94172e-19
10344.0270 2.23774e-18 4.78977e-19
10345.1130 1.26082e-18 5.24023e-19
10346.1990 1.65009e-18 4.27583e-19
10347.2850 1.96010e-18 5.22114e-19
10348.3710 2.26262e-18 8.30470e-19
10349.4570 1.30121e-18 9.19291e-19
10350.5430 1.29733e-18 9.21445e-19
10351.6290 1.47509e-18 1.05114e-18
10352.7150 1.65046e-18 6.53195e-19
10353.8010 1.49807e-18 3.81925e-19
10354.8870 1.82400e-18 6.04645e-19
10355.9730 1.27399e-18 7.14758e-19
10357.0590 1.82258e-18 5.88571e-19
10358.1450 1.67134e-18 5.34590e-19
10359.2310 1.53478e-18 3.93671e-19
10360.3170 1.63174e-18 2.71098e-19
10361.4030 1.52016e-18 2.35871e-19
10362.4890 1.65796e-18 2.37988e-19
10363.5750 1.73762e-18 2.50889e-19
10364.6610 1.56260e-18 2.46916e-19
10365.7470 1.81071e-18 2.48924e-19
10366.8330 1.59321e-18 2.39287e-19
10367.9190 1.43689e-18 2.32336e-19
10369.0050 1.66841e-18 2.38795e-19
10370.0900 1.90479e-18 2.67262e-19
10371.1760 1.30289e-18 2.62530e-19
10372.2620 1.66792e-18 3.44223e-19
10373.3480 3.12446e-18 1.10984e-18
10374.4340 1.56253e-18 1.56614e-18
10375.5200 5.73160e-18 1.93198e-18
10376.6060 -3.37037e-20 -1.88960e-18
10377.6920 1.53672e-18 1.22785e-18
10378.7780 1.56296e-18 5.61202e-19
10379.8640 1.69167e-18 2.82229e-19
10380.9500 1.87464e-18 2.58727e-19
10382.0360 1.52875e-18 2.42252e-19
10383.1220 1.23729e-18 2.38532e-19
10384.2080 1.73463e-18 2.63046e-19
10385.2940 1.33200e-18 2.50405e-19
10386.3800 1.94672e-18 2.55110e-19
10387.4660 1.97205e-18 2.53416e-19
10388.5520 1.11701e-18 2.36840e-19
10389.6380 1.67165e-18 2.48512e-19
10390.7240 1.54695e-18 2.50892e-19
10391.8100 1.28031e-18 2.49650e-19
10392.8960 1.38406e-18 2.54665e-19
10393.9820 1.61597e-18 2.67708e-19
10395.0680 1.14659e-18 2.62812e-19
10396.1540 1.23910e-18 3.43647e-19
10397.2400 1.73808e-18 8.27559e-19
10398.3260 2.23933e-18 1.11922e-18
10399.4120 8.82998e-19 1.45405e-18
10400.4980 5.71756e-19 1.37726e-18
10401.5840 1.70017e-18 7.16450e-19
10402.6700 1.59131e-18 3.41927e-19
10403.7560 1.46850e-18 2.56279e-19
10404.8420 1.57090e-18 2.60088e-19
10405.9280 2.12636e-18 2.74969e-19
10407.0140 1.48712e-18 2.54790e-19
10408.1000 1.76848e-18 2.57224e-19
10409.1860 1.23189e-18 2.69187e-19
10410.2710 1.26613e-18 2.88981e-19
10411.3570 1.50517e-18 2.96825e-19
10412.4430 1.75146e-18 3.06764e-19
10413.5290 1.48859e-18 2.79054e-19
10414.6150 1.15865e-18 2.55229e-19
10415.7010 1.41250e-18 2.67657e-19
10416.7870 1.64689e-18 3.50132e-19
10417.8730 3.96852e-19 4.61833e-19
10418.9590 8.56421e-19 1.45986e-18
10420.0450 1.89687e-18 1.78798e-18
10421.1310 1.35225e-18 1.59938e-18
10422.2170 5.09252e-19 1.57981e-18
10423.3030 1.79321e-18 1.21164e-18
10424.3890 1.64610e-18 5.18930e-19
10425.4750 1.85892e-18 3.63559e-19
10426.5610 1.39620e-18 3.40412e-19
10427.6470 1.10127e-18 3.26693e-19
10428.7330 1.27471e-18 3.50385e-19
10429.8190 2.03311e-18 3.99267e-19
10430.9050 2.44566e-18 5.72766e-19
10431.9910 2.53900e-18 5.87624e-19
10433.0770 1.77780e-18 5.17379e-19
10434.1630 2.61832e-18 4.58976e-19
10435.2490 1.33307e-18 2.61351e-19
10436.3350 1.38877e-18 2.41295e-19
10437.4210 1.26857e-18 2.22409e-19
10438.5070 1.90643e-18 2.41142e-19
