lambda flux fluxErr
10344.0270 1.58115e-18 4.18199e-19
10345.1130 1.52370e-18 3.34418e-19
10346.1990 1.37938e-18 2.66271e-19
10347.2850 1.64839e-18 4.05530e-19
10348.3710 2.29990e-18 7.40182e-19
10349.4570 2.56857e-18 8.14707e-19
10350.5430 2.60512e-18 8.18392e-19
10351.6290 1.17616e-18 7.74633e-19
10352.7150 1.50305e-18 4.52054e-19
10353.8010 1.06271e-18 3.29733e-19
10354.8870 1.59560e-18 4.41958e-19
10355.9730 8.14130e-19 4.83392e-19
10357.0590 1.53289e-18 4.86469e-19
10358.1450 1.27296e-18 4.53538e-19
10359.2310 1.88559e-18 5.39901e-19
10360.3170 2.53050e-18 4.63755e-19
10361.4030 1.58324e-18 2.29044e-19
10362.4890 1.65488e-18 2.29115e-19
10363.5750 1.76379e-18 2.33163e-19
10364.6610 1.90113e-18 2.25429e-19
10365.7470 1.41426e-18 2.10629e-19
10366.8330 1.74530e-18 2.20768e-19
10367.9190 1.11429e-18 2.07301e-19
10369.0050 1.44570e-18 2.17587e-19
10370.0900 1.71442e-18 2.35640e-19
10371.1760 1.55280e-18 2.34752e-19
10372.2620 1.17357e-18 3.05144e-19
10373.3480 1.73299e-18 1.29992e-18
10374.4340 1.41525e-18 1.88150e-18
10375.5200 1.62925e-18 1.35638e-18
10376.6060 1.53456e-18 1.34909e-18
10377.6920 1.96397e-18 1.07725e-18
10378.7780 1.40312e-18 3.83297e-19
10379.8640 1.49217e-18 2.73012e-19
10380.9500 1.36263e-18 2.62438e-19
10382.0360 1.50725e-18 2.68386e-19
10383.1220 1.38399e-18 2.55835e-19
10384.2080 1.32110e-18 2.14346e-19
10385.2940 1.63721e-18 2.23200e-19
10386.3800 1.92482e-18 2.42235e-19
10387.4660 1.20318e-18 2.26765e-19
10388.5520 1.75564e-18 2.28372e-19
10389.6380 1.45140e-18 2.23242e-19
10390.7240 1.55632e-18 2.25047e-19
10391.8100 1.67279e-18 2.37098e-19
10392.8960 1.33261e-18 2.34629e-19
10393.9820 1.14435e-18 2.30964e-19
10395.0680 1.26723e-18 2.41622e-19
10396.1540 2.04642e-18 3.32460e-19
10397.2400 1.67766e-18 7.43657e-19
10398.3260 1.39372e-18 8.86197e-19
10399.4120 1.72183e-18 9.07784e-19
10400.4980 2.00641e-18 8.87158e-19
10401.5840 3.29228e-19 6.07421e-19
10402.6700 1.42153e-18 2.55591e-19
10403.7560 1.79691e-18 2.32590e-19
10404.8420 1.22974e-18 2.21040e-19
10405.9280 1.45972e-18 2.29646e-19
10407.0140 1.33370e-18 2.23921e-19
10408.1000 1.32187e-18 2.36314e-19
10409.1860 1.52522e-18 2.60166e-19
10410.2710 1.15063e-18 2.70293e-19
10411.3570 1.50279e-18 2.63858e-19
10412.4430 1.53035e-18 2.65734e-19
10413.5290 1.37403e-18 2.44339e-19
10414.6150 1.85743e-18 2.40477e-19
10415.7010 1.64392e-18 2.39130e-19
10416.7870 8.45007e-19 2.87486e-19
10417.8730 1.83248e-18 4.42259e-19
10418.9590 2.56757e-18 1.08960e-18
10420.0450 6.16392e-19 1.46609e-18
10421.1310 1.85610e-18 1.38999e-18
10422.2170 1.92619e-18 1.35979e-18
10423.3030 2.38689e-18 1.49575e-18
10424.3890 1.91954e-18 6.62465e-19
10425.4750 1.84531e-18 3.30243e-19
10426.5610 1.83602e-18 3.04426e-19
10427.6470 1.35475e-18 2.78471e-19
10428.7330 2.02315e-18 3.60584e-19
10429.8190 2.19072e-18 4.10357e-19
10430.9050 1.57740e-18 3.89924e-19
10431.9910 1.11636e-18 3.81961e-19
10433.0770 1.71253e-18 3.37581e-19
10434.1630 1.74305e-18 2.73858e-19
10435.2490 1.62510e-18 2.23353e-19
10436.3350 1.16130e-18 1.99081e-19
10437.4210 1.43173e-18 2.03924e-19
10438.5070 1.43388e-18 2.00363e-19
