   # lambda  flux(e-/s)    stddev 
  10424.389    -0.01411   0.06545 
  10425.475     0.01180   0.04496 
  10426.561     0.06713   0.04258 
  10427.647     0.16226   0.03983 
  10428.733     0.04227   0.03883 
  10429.819    -0.04173   0.04344 
  10430.905    -0.01518   0.04656 
  10431.991     0.05083   0.04655 
  10433.077    -0.02226   0.04437 
  10434.163    -0.02576   0.04096 
  10435.249    -0.00303   0.03449 
  10436.335     0.01532   0.02708 
  10437.421     0.04914   0.02586 
  10438.507     0.01045   0.02550 
  10439.593     0.05095   0.02492 
  10440.679     0.05092   0.02517 
  10441.765    -0.00422   0.02664 
  10442.851     0.00083   0.02556 
  10443.937    -0.08056   0.02572 
  10445.023     0.03306   0.02647 
  10446.109     0.01237   0.02864 
  10447.195     0.04957   0.02976 
  10448.281     0.05992   0.03463 
  10449.367     0.12423   0.03927 
  10450.452     0.02395   0.05537 
  10451.538     0.27663   0.09910 
  10452.624     0.30699   0.11811 
  10453.710    -0.07536   0.12024 
  10454.796    -0.06596   0.11009 
  10455.882    -0.04161   0.06395 
  10456.968     0.06236   0.03117 
  10458.054     0.05822   0.02642 
  10459.140     0.02041   0.02612 
  10460.226     0.05947   0.02543 
  10461.312     0.12106   0.03504 
  10462.398     0.04155   0.05227 
  10463.484     0.04701   0.02702 
  10464.570     0.02455   0.02749 
  10465.656     0.07496   0.02945 
  10466.742    -0.02023   0.03699 
  10467.828    -0.04705   0.05061 
  10468.914    -0.08161   0.07868 
  10470.000     0.29556   0.15644 
  10471.086     0.03647   0.17886 
  10472.172    -0.05575   0.18026 
  10473.258     0.08219   0.16840 
  10474.344     0.13692   0.08976 
  10475.430     0.05557   0.03874 
  10476.516     0.05102   0.02979 
  10477.602     0.00401   0.02809 
  10478.688    -0.01039   0.02705 
  10479.774    -0.00692   0.02652 
  10480.860     0.10127   0.02947 
  10481.946     0.03057   0.02733 
  10483.032    -0.03856   0.02816 
  10484.118     0.00441   0.02774 
  10485.204     0.06504   0.02873 
  10486.290    -0.00658   0.02830 
  10487.376    -0.07008   0.03220 
  10488.462     0.08742   0.03894 
  10489.548     0.12818   0.04034 
  10490.633     0.01304   0.04015 
  10491.719    -0.04741   0.03659 
  10492.805     0.02215   0.02988 
  10493.891     0.03218   0.02715 
  10494.977     0.04787   0.02617 
  10496.063     0.04721   0.02729 
  10497.149     0.00293   0.02863 
  10498.235    -0.01763   0.03068 
  10499.321    -0.00679   0.03606 
  10500.407     0.05272   0.03590 
  10501.493     0.05095   0.03939 
